,Author ID,Tweet ID,Language,Created at,Text,Word Count,New Tweet,,Location,Retweet Count,Subjectivity,Polarity,Analysis,,Results
1,2184430467,1.69E+18,en,2023-08-21 08:21:44+00:00,Lorazepam Stimulates IL6 Production and Is Associated with Poor Survival Outcomes in Pancreatic Cancer | Clinical Cancer Research | American Association for Cancer Research,22,lorazepam stimulates il6 production  associated  poor survival outcomes  pancreatic cancer  clinical cancer research  american association  cancer research,17,,0,0.3,-0.2,Negative,negative,-1
2,1.69E+18,1.69E+18,en,2023-08-21 07:36:19+00:00,"buy ativan online without prescription from TRUST PHARMACY in the United States! Ativan without Prescription With Huge Discounts, Lowest Prices.",20,buy ativan online  prescription  trust pharmacy   united states! ativan  prescription  huge discounts lowest prices,14,,0,0.9,0.4,Positive,positive,1
3,1.25E+18,1.69E+18,en,2023-08-21 06:18:15+00:00,@JSchmanathan @loganzuber17 A great combination that many people use is lorazepam (Xanax would prob be similar in effect) and propranolol. One of each about an hour before the flight is amazingly effective and doesn‚Äôt make you loopy for the rest of the day.  Learned from a Dr. that travels for conferences,51,great combination  many people use  lorazepam xanax would prob be similar  effect  propranolol one  each about  hour before  flight  amazingly effective  does not make  loopy   rest   day  learned   dr that travels  conferences,31,,0,0.6125,0.475,Positive,positive,1
4,1.34E+18,1.69E+18,en,2023-08-21 02:46:37+00:00,Time to take lorazepam and watch art restoration videos in bed,11,time  take lorazepam  watch art restoration videos  bed,8,,0,0,0,Neutral,,0
5,51418957,1.69E+18,en,2023-08-21 02:37:30+00:00,"@angelusmalusuk Im so sorry you‚Äôve gone through all of this. I was in a similar situation a week ago.
1mg of lorazepam is equivalent of 5mg diazepam. Lorazepam is fast acting &amp; stays in system for 8 hours. Diazepam stays for around 48 hours. So when they say safer they most likely mean /1",52,"sorry  gone through   this   similar situation  week ago
1mg  lorazepam  equivalent  5mg diazepam lorazepam  fast acting  stays  system  8 hours diazepam stays  around 48 hours when  say safer they most likely mean",32,,0,0.598214286,-0.016071429,Negative,negative,-1
6,1.34E+18,1.69E+18,en,2023-08-21 02:12:25+00:00,I'M AWAKE- that lorazepam really knocked me the fuck out I SLEPT A PERFECT 8 HOURS,16, awake-  lorazepam really knocked  fuck out  slept  perfect 8 hours,10,,0,0.6,0.266666667,Positive,positive,1
7,79879197,1.69E+18,en,2023-08-21 01:49:59+00:00,@EMPAthy_atrophy I tested negative for benzos on 4-5 occasions despite taking lorazepam daily,,,,,0,0.2,-0.15,Negative,neutral,-1
8,162743963,1.69E+18,en,2023-08-21 00:38:04+00:00,"Can a doctor explain to me how diazepam is exactly the same as lorazepam, but lorazepam causes harm and diazepam doesn't? I can't get my head around what's happened tonight. It doesn't feel real. It can't be possible that this actually happened.",42,can  doctor explain   how diazepam  exactly  same  lorazepam but lorazepam causes harm  diazepam does not?  can not get  head around what is happened tonight  does not feel real can not  possible that  actually happened,29,,0,0.36875,0.0625,Positive,neutral,1
9,1.25E+18,1.69E+18,en,2023-08-20 23:22:01+00:00,i can‚Äôt believe I thought lorazepam was more effective than midazolam,11, can not believe  thought lorazepam  more effective  midazolam,7,,0,0.65,0.55,Positive,negative,1
10,6358292,1.69E+18,en,2023-08-20 22:06:43+00:00,It‚Äôs wrap myself in a blanket and take a lorazepam time.,11,it is wrap myself   blanket  take  lorazepam time,7,,0,0,0,Neutral,positive,0
11,162743963,1.69E+18,en,2023-08-20 21:57:31+00:00,"My stepdad came and got me. The hospital said it was my choice to leave or stay. I would've left earlier if they hadn't LIED!!!!! I'm a wreck, because of two doctors: one who lied about prescribing lorazepam and another who talked shit about lorazepam to justify refusing it.",49, stepdad came  got  hospital said choice  leave  stay  left earlier  they had not lied!!!!!  wreck because  two doctors one  lied about prescribing lorazepam  another  talked shit about lorazepam  justify refusing ,29,,0,0.433333333,-0.066666667,Negative,negative,-1
12,162743963,1.69E+18,en,2023-08-20 21:54:22+00:00,I can't believe they did that. And they're gonna say it was me! Choosing to leave! Because they lied about lorazepam to sleep!!! I'd have left earlier if I'd known. Never trust anyone ever. I so wish I'd remembered recording on my phone. They'll just lie.,,,,,0,0.25,0,Neutral,negative,0
13,1.53E+18,1.69E+18,en,2023-08-20 21:20:45+00:00,@radicallysoft Is your lorazepam in the middle of the ocean or something,12, lorazepam   middle ocean  something,4,,0,0,0,Neutral,neutral,0
14,2667329336,1.69E+18,en,2023-08-20 21:02:59+00:00, pop a lorazepam real quick,5, pop  lorazepam real quick,4,,0,0.75,0.5,Positive,positive,1
15,162743963,1.69E+18,en,2023-08-20 20:58:21+00:00,"The nurse has just been to tell me I need a blood test(!), there's no record of me having it and she said it's not possible it was done at 8pm when I said. It might've been a bit before, it took her at least half an hour to do it and that was after 7pm. And no lorazepam!",57, nurse  just been  tell  need  blood test(!)  no record  having   said  not possible  done  8pm when  said   been  bit before took least half  hour  do   after 7pm no lorazepam!,29,,0,0.641666667,-0.127083333,Negative,negative,-1
16,938642407,1.69E+18,en,2023-08-20 18:50:51+00:00,"MA: In the treatment of alcohol withdrawal syndrome, gabapentin was better than chlordiazepoxide and lorazepam (d=0.563, p&lt;0.001), and carbamazepine also outperformed oxazepam and lorazepam (d=0.376, p=0.029) in reducing CIWA-Ar scores https://t.co/fzvRtHT8fx",36,ma: treatment  alcohol withdrawal syndrome gabapentin  better than chlordiazepoxide  lorazepam d=0.563 p&lt;0.001  carbamazepine also outperformed oxazepam  lorazepam d=0.376 p=0.029 reducing ciwa-ar scores ,30,,0,0.5,0.5,Positive,positive,1
17,8.25E+17,1.69E+18,en,2023-08-20 17:40:42+00:00,"RT @_zPanda_: he was a SSRI boy, she was a lorazepam girl.",12, ssri boy   lorazepam girl,4,,1,0,0,Neutral,,0
18,1.32E+18,1.69E+18,en,2023-08-20 17:34:44+00:00,"Does anyone in the UK get clonazepam prescribed? If so why and is it by your GP? Mine will only give me lorazepam, zolpidem and nitrazepam for anxiety/sleep.
I have lots of medicall&amp;legal b.s. upcoming and am feeling anxious. Hoping to persuade the GP to put me back on klonapinüôÉ",53," anyone  uk get clonazepam prescribed   why  by  gp? mine  only give  lorazepam zolpidem  nitrazepam  anxiety sleep.
  lots  medicall legal b.s. upcoming  am feeling anxious hoping  persuade  gp  put  back  klonapinˇôÉ",32,,1,0.666666667,-0.083333333,Negative,neutral,-1
19,1.07E+18,1.69E+18,en,2023-08-20 17:04:59+00:00,Lorazepam and popsicles is on my menu today.,8,lorazepam  popsicles menu today,4,,1,0,0,Neutral,positive,0
20,1.27E+18,1.69E+18,en,2023-08-20 17:02:26+00:00,me when a panic attack hits and i have to search for my lorazepam https://t.co/bfpTqdvYim,16, when  panic attack hits search  lorazepam,6,,0,0,0,Neutral,neutral,0
21,12280,1.69E+18,en,2023-08-20 16:09:13+00:00,Gonna find the max possible dose of oxy I can still take for today because this will keep me up. Thank God I found my lorazepam during the search on shelves that injured my foot. I still hope to be able to make it to the cgh appts tomorrow. Making appts is really hard for me,56,gonna find  max possible dose  oxy  can still take  today because   keep  up thank god  found  lorazepam during  search  shelves  injured  foot  still hope  be able  make cgh appts tomorrow making appts  really hard ,33,,0,0.722222222,0.069444444,Positive,positive,1
22,1.69E+18,1.69E+18,en,2023-08-20 16:03:29+00:00,@DrMakokis i‚Äôm sorry to say this but your going to include brain injuries from poisoning our water . i would start treatment with retalin and lorazepam what would you do. every one of our people that can‚Äôt pass a sobriety test sober should be treated and removed from jail.,48,sorry say but going include brain injuries  poisoning  water start treatment retalin lorazepam what do every one people can not pass sobriety test sober should be treated  removed  jail,28,,0,0.4,-0.166666667,Negative,neutral,-1
23,1.50E+18,1.69E+18,en,2023-08-20 14:07:25+00:00,"Suspicions: stress. Does stress spike glucose? Sudafed. I had to get some a couple hours ago. Sugars in lorazepam tablets. And the Pyure brand stevia, seems this happened b4 with that brand. Well obviously I recovered from low sugar last night w/out eating a thing ü§∑ https://t.co/qFSOml8WER",46,suspicions stress  stress spike glucose sudafed    get some  couple hours ago sugars  lorazepam tablets  pyure brand stevia seems  happened before brand well obviously  recovered  low sugar last night  eating  thing ,30,,0,0.288888889,0,Neutral,neutral,0
24,1.34E+18,1.69E+18,en,2023-08-20 13:55:07+00:00,tonight is the night I start retaking lorazepam,8,tonight night  start retaking lorazepam,5,,0,0,0,Neutral,positive,0
25,1.08E+18,1.69E+18,en,2023-08-20 13:20:12+00:00,"@heelmanitoba Overcame a lorazepam addiction after being on it  to help me sleep at night for 18 years! Luckily when my doc retired I was able to get a younger doctor who helped me out.. 2 yrs to completely wean off and feel kind of normal, now it's only cannabis &amp; micro-dose mushrooms for me.",55, overcame  lorazepam addiction after being help  sleep  night  18 years luckily when  doc retired   able  get  younger doctor who helped  out 2 yrs  completely wean off  feel kind  normal now  only cannabis  micro-dose mushrooms ,33,,0,0.629761905,0.24047619,Positive,negative,1
26,2977310375,1.69E+18,en,2023-08-20 10:33:24+00:00,"@nzekiev Okay, Ooo. My head is too big but too small for it before I end up relying on Lorazepam, Olamzepin, and other antipsychotic medications.",25, okay ooo  head  too big but too small  before  end up relying  lorazepam olamzepin other antipsychotic medications,16,,0,0.34375,0.03125,Positive,positive,1
27,12280,1.69E+18,en,2023-08-20 08:15:46+00:00,"valerian; albeit not an essential eo for respi issue, but very calming for cats- and cats are always as sick as they are stressed
êå≥ in the end i found a whole lot of other things in ive been missing from my room such as my prn meds (lorazepam!) and makeup. My mom didnt think all",55,"valerian albeit not  essential respi issue but very calming  cats-  cats  always  sick  they  stressed
  end  found  whole lot  other things  been missing   room such   prn meds lorazepam!  makeup mom didnt think all",33,,0,0.39744898,-0.091326531,Negative,,-1
28,1615395432,1.69E+18,en,2023-08-20 08:11:24+00:00,@iridescent0star No I haven‚Äôt tried lorazepam before. I am going to email the pharmacist and let him know. I only just got diazepam added to my prescriptions too üò≠ I‚Äôm glad the lurasidone helps. I hate that zopiclone doesn‚Äôt work on me anymore like it used to a few years ago,50, no  tried lorazepam before  going  email  pharmacist  let  know only just got diazepam added  prescriptions too ≠  glad  lurasidone helps  hate  zopiclone doesn't work  anymore like  used few years ago,29,,0,0.75,-0.125,Negative,positive,-1
29,3631370775,1.69E+18,en,2023-08-20 07:38:07+00:00,"@iridescent0star @abodement Qu about lorazepam, you mentioned don't take it too regularly , do you mean not everyday ? I find it so helpful but worry I'm over reliant on it",29,  about lorazepam mentioned don't take  too regularly  do  mean not everyday ?  find  helpful but worry over reliant,18,,0,0.454807692,-0.070833333,Negative,positive,-1
30,1.58E+18,1.69E+18,en,2023-08-20 06:42:25+00:00,@abodement That's so frustrating! Have you tried lorazepam? Diazepam has no effect on me for some reason but lorazepam is amazing as long as you don't take it too regularly. Lurasidone (antipsychotic) also literally knocks me out so is brilliant for sleep.,42, so frustrating!  tried lorazepam? diazepam has no effect  some reason but lorazepam  amazing  long  do not take  too regularly lurasidone antipsychotic also literally knocks  out so  brilliant  sleep,28,,0,0.655384615,0.19,Positive,positive,1
31,3286149799,1.69E+18,en,2023-08-20 03:42:47+00:00,cirie babe like I‚Äôll give you one of my lorazepam if it means you‚Äôll calm tf down #bb25,18, babe like give  one lorazepam   means  calm tf down ,9,,0,0.519444444,0.072222222,Positive,positive,1
32,4225767500,1.69E+18,en,2023-08-20 03:40:45+00:00,Lorazepam Stimulates IL6 Production and Is Associated with Poor Survival Outcomes in Pancreatic Cancer - ‚Äúalprazolam (ALP) is associated with improved PFS‚Äù https://t.co/nimIEQAncc,22,lorazepam stimulates il6 production   associated  poor survival outcomes  pancreatic cancer -alprazolam (alp)  associated  improved pfs,15,,0,0.6,-0.4,Negative,negative,-1
33,1.58E+18,1.69E+18,en,2023-08-20 02:59:36+00:00,@De4dGrrrl its not honestly the only anti psychotic/anti depressant ive gained on is zyprexa/lorazepam but i was on like 3 doses 3 different times during the day so it was a weird schedule but everything else didnt have an affect on my weight if u have the will power to deny the cravings,55,  not honestly  only anti psychotic/anti depressant  gained  zyprexa lorazepam but like 3 doses 3 different times during  day  weird schedule but everything else did not   affect  weight    power  deny  cravings,30,,0,0.875,-0.2,Negative,negative,-1
34,6.95E+17,1.69E+18,en,2023-08-20 00:57:55+00:00,Me after taking lorazepam https://t.co/5zgeFs6QpN,5, after taking lorazepam ,3,,0,0,0,Neutral,neutral,0
35,9.01E+17,1.69E+18,en,2023-08-19 23:50:15+00:00,@nunya_bidness41 Looks like I hit a nerve. The only one functional in your cerebral cortex. Your Lorazepam is not working.,20, looks like  hit  nerve  only one functional   cerebral cortex  lorazepam  not working,12,,0,1,0,Neutral,negative,0
36,969060998,1.69E+18,en,2023-08-19 21:48:07+00:00,why am i like this i need a lorazepam or something,11,why  like  need  lorazepam  something,5,,0,0,0,Neutral,neutral,0
37,1.58E+18,1.69E+18,en,2023-08-19 20:57:00+00:00,"@DYork1979 ME patient here. I get tremors as well, my doctor prescribed lorazepam and it stops them within an hour. Not sure if you could get a doc to do the same? Tremors are definitely scary stuff.",37, patient here  get tremors  well  doctor prescribed lorazepam  stops them within  hour not sure   could get  doc  do  same? tremors  definitely scary stuff,23,,0,0.671296296,-0.25,Negative,positive,-1
38,1.23E+18,1.69E+18,en,2023-08-19 19:51:58+00:00,"""Conclusions: We demonstrate that lorazepam(LOR) stimulates fibrosis and inflammatory signaling, promotes desmoplasia and ischemic necrosis, and is associated with decreased pancreatic cancer patient survival.""",25,conclusions demonstrate  lorazepam stimulates fibrosis  inflammatory signaling promotes desmoplasia  ischemic necrosis  associated  decreased pancreatic cancer patient survival,18,,1,0.7,-0.4,Negative,negative,-1
39,8.71E+17,1.69E+18,en,2023-08-19 19:24:33+00:00,"@Supermansings Top runner with lorazepam, but would say lorazepam. Add in treatment of many tox cases too.",17, top runner  lorazepam but would say lorazepam add  treatment  many tox cases too,14,,0,0.5,0.5,Positive,positive,1
40,4612921212,1.69E+18,en,2023-08-19 18:54:59+00:00,First night of taking my 2mg lorazepam üòîü§òüèª let‚Äôs see how it goes‚Ä¶,12,first night  taking  2mg lorazepam let us see how  goes,9,,0,0.333333333,0.25,Positive,positive,1
41,1.53E+18,1.69E+18,en,2023-08-19 16:53:55+00:00,Like 15mg Ativan.Lorazepam &amp; 2mg | Whole bar of Xanax deep fam!!,12,like 15mg ativan lorazepam  2mg  whole bar  xanax deep fam!!,10,{'place_id': '00c5d5147c8c244d'},1,0.4,0.1,Positive,positive,1
42,375895499,1.69E+18,en,2023-08-19 16:16:57+00:00,The pre airport anxiety is too real.  Come on lorazepam work ü´∂,11, pre airport anxiety  too real  come  lorazepam work ,8,{'place_id': '5c62ffb0f0f3479d'},0,0.3,0.2,Positive,positive,1
43,1.66E+18,1.69E+18,en,2023-08-19 15:28:01+00:00,Black ‚Äòppl‚Äô don‚Äôt know the main difference between clonazepam and lorazepam to treat bipolar. They just love mixing. Clonazepam produces suicidal ideation. @UniofOxford https://t.co/WSuKd9MEsQ,24,black ppl don not know  main difference between clonazepam  lorazepam  treat bipolar just love mixing clonazepam produces suicidal ideation,18,,0,0.455555556,0.166666667,Positive,positive,1
44,1.52E+18,1.69E+18,en,2023-08-19 15:21:52+00:00,@YakkStack Best part about block being removed is will be Nili precribing herself lorazepam.,14, best part about block being removed   be nili precribing herself lorazepam,11,,0,0.3,1,Positive,positive,1
45,1.25E+18,1.69E+18,en,2023-08-19 12:19:07+00:00,"RT @CherryMorrello: there is a rehab pathway in place, but they'd probably rule you out because you're too far gone leaves you a little pis‚Ä¶",25,  there   rehab pathway  place but they would probably rule  out because you are too far gone leaves   little pis,17,,2,0.75,-0.04375,Negative,negative,-1
46,1.52E+18,1.69E+18,en,2023-08-19 11:52:49+00:00,"@JacquiDeevoy1 I‚Äôve been saying this in the United States as a nurse. I have not heard of Midazolam used yet, glad I hear the name now, but give grandma who never took an aspirin lorazepam, morphine and Haldol‚Ä¶ stops eating, drinking and breathing!üíÄ‚ò†Ô∏èüíÄ‚ò†Ô∏èfamilies typically don‚Äôt question‚Ä¶ https://t.co/jj7byNkYzH",48,  been saying  united states nurse  not heard  midazolam used yet glad  hear  name now but give grandma who never took  aspirin lorazepam morphine   stops eating drinking  breathing!families typically don not question,32,,0,0.75,0.166666667,Positive,negative,1
47,20718828,1.69E+18,en,2023-08-19 11:39:04+00:00,I'm calmer today. Yesterday I had taken quite a few lorazepam which weren't calming me down at all. I just want to clear a couple of things up. I stand by my statement that the Dr didn't like me. You know sometimes you get a vibe off someone that you aren't their type of person,55, calmer today yesterday   taken quite  few lorazepam which were not calming  down  all  just want  clear  couple  things up  stand by  statement   dr did not like me  know sometimes  get  vibe off someone   are not their type  person,35,,11,0.257407407,-0.085185185,Negative,negative,-1
48,1.45E+18,1.69E+18,en,2023-08-19 11:27:39+00:00,@efrenchm1 Go with PD and Lorazepam for the radiologist. The risk / benefit ratio speaks against putting in a central  line to do a procedure for which the benefit is not proven. Choose the right Gadolinium though.,37, go  pd  lorazepam radiologist  risk  benefit ratio speaks against putting central  line  do  procedure  which  benefit  not proven choose  right gadolinium though,33,,0,0.392857143,0.142857143,Positive,neutral,1
49,42942856,1.69E+18,en,2023-08-19 09:18:33+00:00,RT @CherryMorrello: make some of the decisions for once.  I was so stressed today I was all over the place. I couldn't get settled. I'd had‚Ä¶,26, make some decisions  once  so stressed today all over  place could not get settled had,14,,2,0,0,Neutral,negative,0
50,8.66E+17,1.69E+18,en,2023-08-19 09:09:54+00:00,menyesai tinggal lorazepam kat rumah sewa i haven‚Äôt sleep for like 2 days I NEED SLEEP BUT SLEEP DOESN‚ÄôT NEED ME,13,i have not sleep for like 2 days i need sleep but sleep does not need me,16,,0,0,0,Neutral,negative,0
51,1.48E+18,1.69E+18,en,2023-08-19 05:45:46+00:00,"@LeilaniDowding @janegue85750421 And small doses of Lorazepam in the elderly can't cause adverse reactions, just bad behaviour, add more drugs!",20, small doses  lorazepam elderly can not cause adverse reactions just bad behaviour add more drugs!,14,,0,0.522222222,-0.108333333,Negative,negative,-1
52,881433840,1.69E+18,en,2023-08-19 05:25:37+00:00, They did tests &amp; decided it was anxiety even though the racing heart was odd because I was so relaxed at the time. Anyway whatever it was seems to have gone now so I'm happy to get on with my day such as it is. They offered me lorazepam. I told them I prefer panadol if it returns,57,  did tests & decided  anxiety even though  racing heart  odd because  so relaxed time anyway whatever  seems  have gone now so happy  get    day such  offered  lorazepam.  told prefer panadol returns,30,,0,0.583333333,0.211111111,Positive,negative,1
53,59132952,1.69E+18,en,2023-08-19 04:53:13+00:00,I need Lorazepam‚Ä¶,3, need lorazepam,2,,0,0,0,Neutral,positive,0
54,1.51E+18,1.69E+18,en,2023-08-19 03:41:52+00:00,"Benzos warning: Lorazepam treatments may make things worse for pancreatic cancer patients
https://t.co/YeMyV9GEPM",13,benzos warning: lorazepam treatments may make things worse for pancreatic cancer patients,11,,0,0.6,-0.4,Negative,negative,-1
